Intent,Web Message,Type,Title,Description,Text,Media,URL,State
Compensation_Pay_Hourly,"We offer competitive compensation, advancement opportunities, a full range of benefits and the chance to join a start-up that is disrupting the recruiting industry.",,,,,,,
Compensation_Pay_Method,That's a great question! Paradox employees are paid by direct deposit. Employees will receive a W-2 at the beginning of each year for taxes.,,,,,,,
Compensation_Pay_NonCashIncentives,"In addition to the compensation and benefits package, Paradox will offer equity incentive plans where appropriate.",,,,,,,
Compensation_Pay_Raise,"Great question! All compensation will be negotiated between you and your manager, and will be based on your role and experience.",,,,,,,
Compensation_Pay_Salary,"We offer competitive salaries, advancement opportunities, a full range of benefits and the chance to join a start-up that is disrupting the recruiting industry.",,,,,,,
Compensation_Pay_Schedule,"Paradox distributes paychecks on the 5th and 20th of every month. If either of those dates falls on a Saturday or Sunday, we'll distribute paychecks on Friday or Monday, respectively.",,,,,,,
Compensation_Pay_WorkersComp,We provide workers' compensation as required by the State of Arizona. We don't want you getting hurt playing with AI! :),,,,,,,
Compensation_Reimbursement,"At Paradox, we offer reimbursements for eligible business expenses, such as meals, travel expenses and office supplies.",,,,,,,
Compensation_Reimbursement_Entertainment,We offer entertainment reimbursements for meals with clients and approved team outings.,,,,,,,
Compensation_Reimbursement_Expenses,We offer reimbursements for eligible business expenses.,,,,,,,
Compensation_Reimbursement_Travel,"At Paradox, we offer travel reimbursements for meals, airline tickets, rental cars, and other eligible travel expenses.",,,,,,,
Culture,"This isn't your typical 9-to-5 job. We're a start-up in every sense of the word. Every day is fun and challenging when you're working hard to change the world!
<br>
Our team spends a long time building the culture we have today and we are proud to share it! | Every day is fun and challenging here at Paradox! We're working to build leading AI technology to improve both the candidate and recruiter experience.",,,,,,,
Culture_Communication,"We believe progress comes from sharing ideas, so we encourage open dialogue across the entire company. That openness ensures ideas are spread and questions are addressed.",,,,,,,
Culture_Communication_CompanyBlog,I'm glad you are excited to learn more about Paradox! Our blog is coming very soon!,,,,,,,
Culture_Communication_CompanyNewsletter,I'm glad you are excited to learn more about Paradox! Our blog is coming very soon!,,,,,,,
Culture_Communication_EmployeeBlog,I'm glad you are excited to learn more about Paradox! Our blog is coming very soon!,,,,,,,
Culture_Communication_EmployeeHandbook,"All employees will have access to our policy guidelines, which foster our values of high standards, collaboration, innovation, and sound leadership.",,,,,,,
Culture_Communication_EmployeeNewsletter,"We don't have an internal newsletter, however, we utilize communications tools, such as G Suite and Slack, to keep our employees informed and up-to-date.",,,,,,,
Culture_Communication_EmployeeSurvey,"We are such a small team, so we don't provide formal surveys. Although, we do encourage open communication between our team!",,,,,,,
Culture_Communication_ManagerMeetings,Our managers meet with our employees and with one another every day. Feedback happens everyday!,,,,,,,
Culture_Communication_MeetingProcess,Employees are welcome to make use of any available conference rooms for internal and client meetings.,,,,,,,
Culture_Communication_Meetings,"Our company meets as needed (monthly or sometimes more frequently!) to make announcements, and discuss our results and future goals.",,,,,,,
Culture_DressCode,"Our typical dress code is business casual, however, there's no harm in dressing up every now and then!",,,,,,,
Culture_DressCode_Appearance,Paradox recognizes that personal appearance is an important element of self-expression. We ask that employees exercise appropriate judgment with regard to their appearance.,,,,,,,
Culture_DressCode_BusinessCasual,"Our typical dress code is business casual, however, there's no harm in dressing up every now and then!",,,,,,,
Culture_DressCode_Casual,"Our typical dress code is business casual, however, there's no harm in dressing up every now and then!",,,,,,,
Culture_DressCode_CasualFriday,"Our typical dress code is business casual, however, don't be afraid to rock your Paradox shirt on Fridays—or every day! :)",,,,,,,
Culture_DressCode_CompanyApparel,"All of our employees receive branded apparel, so you'll be able to rock your Paradox shirt whenever you want!",,,,,,,
Culture_DressCode_Professional,"Our typical dress code is business casual, however, professional dress may be required for client meetings, conferences, and other events.",,,,,,,
Culture_DressCode_Uniform,"We do not have a company uniform. If you like t-shirts, you can totally rock a Paradox shirt whenever you want!",,,,,,,
Culture_Environment,"When we built our office, we reimagined the workplace to create an open and lively space that screams collaboration and innovation. Our workspace features unique spaces for quick discussions, open work areas for everyone, and shared desks for our teams to keep in close communication.",,,,,,,
Culture_Environment_BreakRoom,"Our break room includes unlimited drinks, appliances for food preparation and plenty of seating for lunch breaks.",,,,,,,
Culture_Environment_CommonArea,"Our office was designed specifically for collaborative teamwork. It features unique spaces for quick discussions, open work areas for everyone, and shared desks for our teams to keep in close communication.",,,,,,,
Culture_Environment_ConferenceRooms,Our office is an open and lively space that screams collaboration and innovation. There are several conference rooms available for team and client meetings.,,,,,,,
Culture_Environment_Cubicles,"Our office has open work areas for everyone, and shared desks for our teams to keep in close communication.",,,,,,,
Culture_Environment_Gym,"There are two on-site gyms, which makes workouts possible even with a packed schedule. You'll see we're just as serious about building our health as building our business.",,,,,,,
Culture_Environment_IndividualWork,Our office has open work areas for everyone and shared desks for our teams to keep in close communication.,,,,,,,
Culture_Environment_Kitchen,"Our kitchen has a fully-stocked refrigerator with drinks, and a coffee machine for your morning and afternoon pick-me-ups. You'll also find appliances for food preparation, and plenty of seating for lunch breaks.",,,,,,,
Culture_Environment_OfficeLayout,"Our office was designed specifically for collaborative teamwork. It features unique spaces for quick discussions, open work areas for everyone, and shared desks for our teams to keep in close communication.",,,,,,,
Culture_Environment_TeamCollaboration,"Our office was designed specifically for collaborative teamwork. It features unique spaces for quick discussions, open work areas for everyone, and shared desks for our teams to keep in close communication.",,,,,,,
Culture_Food,"Our kitchen has a fully-stocked refrigerator with drinks, and a coffee machine for your morning and afternoon pick-me-ups. You'll also find appliances for food preparation, and plenty of seating for lunch breaks.",,,,,,,
Culture_Food_Cafeteria,"Here at Paradox, we have two in-suite kitchens and a full restaurant on-site.",,,,,,,
Culture_Food_Drinks,"Our kitchen has a fully-stocked refrigerator with drinks, and a coffee machine for your morning and afternoon pick-me-ups.",,,,,,,
Culture_Food_Meals,"Our kitchen has several appliances for food preparation and plenty of seating for lunch breaks. Occasionally, we will plan team meals for lunch meetings and celebrations.",,,,,,,
Culture_Food_Snacks,"On occasion, team members will bring in snacks to share with the team. Employees are also welcome to stop by the on-site restaurant, Pitch.",,,,,,,
Culture_Food_Store,"Pitch is an on-site restaurant that offers breakfast, lunch, dinner and a post-work beverage. Pitch serves as a great spot for co-workers, neighbors as well as visiting guests to gather.",,,,,,,
Culture_Friend,That's great! I hope they love working here as much as I do. Do you have any other questions for me?,,,,,,,
Culture_Fun,"We love what we do here and that makes every day fun and challenging! As a small team, we're encouraged to share our wins—big or small—and take great pride in our shared success. :)",,,,,,,
Culture_Fun_Baseball,"We do not currently have a company baseball team, however, we encourage employees to get to know one another while at the office and outside of work.",,,,,,,
Culture_Fun_Bowling,"We do not currently have a company bowling team, however, we encourage employees to get to know one another while at the office and outside of work.",,,,,,,
Culture_Fun_EmployeeCelebrations,"We love to celebrate as a team! We often celebrate birthdays and our successes as a team. At the end of the year, we also host a company-wide holiday party.",,,,,,,
Culture_Fun_EmployeeRelationships,"We're a small and tight-knit team, so it's no wonder we enjoy participating in team outings together after hours. :)",,,,,,,
Culture_Fun_Family,We welcome any visits from our employees' family and friends. We would love to meet them if they have time to stop by! :),,,,,,,
Culture_Fun_Foosball,We do not have foosball tables in our office.,,,,,,,
Culture_Fun_Pets,The Quad and Paradox offer a pet-friendly environment. Dogs are welcome in the office and have access to a fenced dog park area.,,,,,,,
Culture_Fun_PetsAllergy,Paradox offers a pet-friendly office. I encourage you to speak to your manager about any concerns.,,,,,,,
Culture_Fun_PingPong,We do not have ping-pong tables in our office.,,,,,,,
Culture_Fun_Softball,"We do not currently have a company softball team, however, we encourage employees to get to know one another while at the office and outside of work.",,,,,,,
Culture_Fun_VideoGames,We do not offer video games at our office.,,,,,,,
Culture_Hours,"We are not your typical 9-to-5 job. We are looking for people who want to sacrifice and build a company together. If we're going to change the recruiting industry, we've got a lot of work to do!",,,,,,,
Culture_Hours_Breaks,Our team typically takes 30 minutes to an hour for lunch breaks.,,,,,,,
Culture_Hours_Client,Everything we do as a team is for the sake of helping our clients succeed. And sometimes that means assisting clients outside of our standard office hours.,,,,,,,
Culture_Hours_Employee,"We are not your typical 9-to-5 job. We are looking for people who want to sacrifice and build a company together. If we're going to change the recruiting industry, we've got a lot of work to do!",,,,,,,
Culture_Hours_FullTime,"All of our employees work full-time and during typical business hours. We're a start-up, so we hope you're not afraid of hard work.",,,,,,,
Culture_Hours_OvertimeOptional,All overtime is paid as required by law. Most of our employees are salary-exempt professionals.,,,,,,,
Culture_Hours_OvertimePay,All overtime is paid as required by law. Most of our employees are salary-exempt professionals.,,,,,,,
Culture_Hours_OvertimeRequired,All overtime is paid as required by law. Most of our employees are salary-exempt professionals.,,,,,,,
Culture_Hours_PartTime,"All of our employees work full-time. We are not currently offering part-time opportunities, although the right person might work for the right role.",,,,,,,
Culture_Life,"We love what we do here and that makes every day fun and challenging! As a small team, we're encouraged to share our wins—big or small—and take great pride in our shared success. :)",,,,,,,
Culture_Life_Attrition,"We always want what is best for our employees. We encourage open discussions about each employee's career path, whether that be with Paradox or elsewhere.",,,,,,,
Culture_Life_Balance,"Most things don't stay the same for long around here. There's always something to improve, something to adapt, something more we can do to address our clients' needs. Our days may be busy, but we still take care of ourselves.",,,,,,,
Culture_Life_Departure,"We always want what is best for our employees. We encourage open discussions about each employee's career path, whether that be with Paradox or elsewhere.",,,,,,,
Culture_Life_Successful,"We love what we do here and that makes every day fun and challenging! As a small team, we're encouraged to share our wins—big or small—and take great pride in our shared success. :)",,,,,,,
Culture_Life_TeamMorale,We're a small and tight-knit team who loves collaborating to constantly improve our product. We also enjoy a team outing together every now and again!,,,,,,,
Culture_Life_TeamPerformance,"Given that we're such a small team, collaboration is a big part of our performance. We also enjoy sharing our wins together and celebrating our team success.",,,,,,,
Culture_Life_Travel,"We attend many events throughout the year, and some of our team members can attend to represent our company.",,,,,,,
Culture_Life_Unsuccessful,"As part of our team, you'll take on big projects and own your results. We don't expect perfection, but you have to be willing to dream big, take risks and fail fast. Then, wake up and do it all again tomorrow.",,,,,,,
Culture_Management,"We believe progress comes from sharing ideas, so we encourage open dialogue across the entire company. That openness ensures ideas are spread and questions are addressed. Roll your chair over or pop in for a chat with our CEO or anyone else.",,,,,,,
Culture_Management_Access,"Our leadership, including our CEO and COO, are officeless and sit on the floor with our team. We're flat and open.",,,,,,,
Culture_Management_CareerPathing,"At Paradox, there's always room for growth. We encourage each employee to have an open discussion with their manager about their future with the company.",,,,,,,
Culture_Management_PerformanceReviews,"While we don't have a formal performance review process, we encourage employees and managers to openly share their feedback.",,,,,,,
Culture_Management_PromotionExecutive,"At Paradox, there's always room for growth. We encourage each employee to have an open discussion with their manager about their future with the company.",,,,,,,
Culture_Management_PromotionManager,"At Paradox, there's always room for growth. We encourage each employee to have an open discussion with their manager about their future with the company.",,,,,,,
Culture_Management_SuccessMeasurement,"As a small team, we're encouraged to share our wins—big or small—and take great pride in our shared success. :)",,,,,,,
Culture_Nostalgia,I'm happy to hear that! Do you have any other questions for me?,,,,,,,
Culture_Technology,"Because we are a company focused on technology and innovation, we provide all of the tools you need to succeed. We provide each employee with a MacBook, and you'll find plenty of other Apple products in the office.",,,,,,,
Culture_Technology_CellPhone,"Our products depend on mobile technology, so employees are allowed to use their mobile devices. Some roles may be eligible for a company-issued iPhone.",,,,,,,
Culture_Technology_ComputerEquipment,"Because we are a company focused on technology and innovation, we provide all of the tools you need to succeed. We provide each employee with a MacBook, and you'll find plenty of other Apple products in the office.",,,,,,,
Culture_Technology_Headset,"Because we are a company focused on technology and innovation, we provide all of the tools you need to succeed. Based on your role, we can supply a headset if needed.",,,,,,,
Culture_Technology_Landline,"Because we are a company focused on technology and innovation, we provide all of the tools you need to succeed. Based on your role, we can supply a landline if needed.",,,,,,,
